pa_name,clip,PA,N,S,R,F,dataset
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_61,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.02,30.95,1.41,0.85,0.39,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_62,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.88,35.77,1.42,0.29,0.05,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_63,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,59.65,33.03,1.55,1.67,1.23,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_64,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.75,32.28,1.22,0.40,0.10,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_65,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.19,35.78,1.45,0.31,0.15,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_66,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,66.27,32.45,1.32,2.14,1.52,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_67,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,45.29,35.73,1.33,0.55,0.15,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_68,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.42,35.35,1.44,0.40,0.30,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_69,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,54.01,34.95,1.51,1.11,0.89,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_70,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.44,34.39,1.22,0.38,0.14,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_71,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.54,31.24,1.50,0.36,0.74,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_72,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,52.90,35.27,1.47,0.64,1.35,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_73,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,39.72,34.17,1.44,0.27,0.08,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_74,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,39.65,31.24,1.48,0.27,0.71,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_75,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,73.83,35.79,1.58,1.95,2.16,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_76,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,41.92,34.43,1.27,0.25,0.05,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_77,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,49.86,35.66,1.54,0.44,1.21,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_78,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,47.99,36.57,1.67,0.47,0.80,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_79,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.30,33.00,1.20,0.40,0.20,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_80,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,39.31,30.96,1.17,0.32,0.14,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_81,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.20,31.05,1.23,0.31,0.47,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_82,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,36.27,29.19,1.22,0.29,0.08,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_83,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,28.08,22.47,1.56,0.23,0.60,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_84,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,24.53,18.85,1.67,0.19,0.82,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_85,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,30.64,25.41,1.36,0.32,0.11,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_86,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,27.93,20.47,1.54,0.24,1.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_87,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,22.20,15.69,1.55,0.64,0.44,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_88,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,32.21,26.58,1.34,0.32,0.10,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_89,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,30.64,25.38,1.36,0.20,0.29,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_90,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,35.91,22.14,1.23,1.37,0.29,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_91,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,31.88,24.36,1.24,0.43,0.33,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_92,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,29.37,21.50,1.16,0.60,0.24,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_93,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,30.34,22.57,1.20,0.66,0.11,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_94,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.72,36.07,1.40,0.30,0.10,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_95,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,60.89,38.70,1.38,1.12,1.05,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_96,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,48.91,38.23,1.17,0.36,0.15,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_97,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.35,30.50,1.54,0.77,0.25,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_98,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,50.23,36.16,1.34,0.57,0.82,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_99,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.05,34.62,1.22,0.27,0.09,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_100,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,45.32,31.50,1.46,0.30,1.48,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_101,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.89,36.15,1.48,0.10,0.58,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_102,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.66,33.28,1.13,0.46,0.16,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_103,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,39.85,31.05,1.25,0.50,0.15,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_104,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.12,26.45,1.17,0.59,0.53,snoop
