pa_name,clip,PA,N,S,R,F,dataset
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_66,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,18.09,14.08,1.14,0.41,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_67,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,18.10,14.16,1.05,0.30,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_68,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,16.57,12.44,1.10,0.51,0.02,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_69,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,22.13,16.90,1.17,0.54,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_70,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,19.59,15.54,1.17,0.34,0.03,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_71,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,21.10,16.77,1.14,0.31,0.02,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_72,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,18.69,14.92,1.10,0.23,0.03,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_73,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,21.75,17.05,1.11,0.22,0.20,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_74,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,23.00,18.50,1.14,0.19,0.06,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_75,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,24.60,19.89,1.13,0.12,0.04,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_76,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,24.15,20.25,1.24,0.07,0.05,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_77,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,21.72,17.63,1.17,0.10,0.20,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_78,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,23.26,19.37,1.22,0.05,0.09,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_79,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,22.30,18.06,1.11,0.03,0.05,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_80,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,23.28,18.64,1.12,0.11,0.19,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_81,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,19.02,15.14,1.16,0.30,0.07,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_82,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,18.70,15.11,1.08,0.09,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_83,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,20.08,16.12,1.10,0.12,0.12,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_84,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,18.15,14.67,1.16,0.26,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_85,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,18.39,15.15,1.27,0.10,0.31,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_86,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,18.43,15.63,1.25,0.07,0.03,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_87,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,20.15,16.96,1.36,0.29,0.02,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_88,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,19.72,17.37,1.39,0.08,0.03,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_89,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,22.84,20.07,1.47,0.22,0.02,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_90,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,22.60,19.32,1.32,0.12,0.06,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_91,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,23.47,19.24,1.18,0.14,0.03,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_92,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,21.71,18.10,1.22,0.12,0.02,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_93,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,25.03,20.45,1.22,0.24,0.05,br
